# iteration  l2_NN  l2_FF  l2_mFF
3.330000e+04 2.454508e+00 3.213541e-01 1.439062e-03
3.340000e+04 2.459291e+00 3.211339e-01 1.151869e-03
3.350000e+04 2.459683e+00 3.207635e-01 6.971531e-04
3.360000e+04 2.440273e+00 3.205187e-01 1.766480e-03
3.370000e+04 2.436958e+00 3.200643e-01 9.629196e-04
3.380000e+04 2.443837e+00 3.199169e-01 1.149281e-03
3.390000e+04 2.437879e+00 3.196315e-01 1.425306e-03
3.400000e+04 2.430329e+00 3.193135e-01 9.773736e-04
3.410000e+04 2.436777e+00 3.191722e-01 9.506650e-04
3.420000e+04 2.435473e+00 3.188287e-01 9.224364e-04
3.430000e+04 2.444481e+00 3.186536e-01 1.159743e-03
3.440000e+04 2.438796e+00 3.182452e-01 1.450077e-03
3.450000e+04 2.431462e+00 3.178635e-01 1.805938e-03
3.460000e+04 2.427744e+00 3.178476e-01 9.638516e-04
3.470000e+04 2.441972e+00 3.174645e-01 2.261692e-03
3.480000e+04 2.444868e+00 3.171742e-01 8.610411e-04
3.490000e+04 2.458793e+00 3.168949e-01 1.198093e-03
3.500000e+04 2.441337e+00 3.168113e-01 1.439710e-03
3.510000e+04 2.442986e+00 3.165279e-01 1.740632e-03
3.520000e+04 2.458645e+00 3.162438e-01 1.704120e-03
3.530000e+04 2.456023e+00 3.159778e-01 1.117695e-03
3.540000e+04 2.461236e+00 3.158163e-01 8.128014e-04
3.550000e+04 2.481244e+00 3.155956e-01 1.506106e-03
3.560000e+04 2.459131e+00 3.150711e-01 8.892466e-04
3.570000e+04 2.469284e+00 3.149599e-01 6.441449e-04
3.580000e+04 2.476285e+00 3.146641e-01 1.146564e-03
3.590000e+04 2.473177e+00 3.142999e-01 1.229516e-03
3.600000e+04 2.484080e+00 3.140418e-01 1.395453e-03
3.610000e+04 2.481164e+00 3.138021e-01 1.343517e-03
3.620000e+04 2.484013e+00 3.134886e-01 7.871599e-04
3.630000e+04 2.493223e+00 3.132863e-01 2.685221e-03
3.640000e+04 2.499816e+00 3.129328e-01 1.085962e-03
3.650000e+04 2.499348e+00 3.127389e-01 1.666220e-03
3.660000e+04 2.490545e+00 3.124157e-01 1.733064e-03
3.670000e+04 2.493117e+00 3.120904e-01 1.977051e-03
3.680000e+04 2.497424e+00 3.118923e-01 2.020186e-03
3.690000e+04 2.495370e+00 3.115617e-01 7.371971e-04
3.700000e+04 2.499878e+00 3.113530e-01 1.105929e-03
3.710000e+04 2.508709e+00 3.111420e-01 1.570731e-03
3.720000e+04 2.512678e+00 3.107188e-01 1.045162e-03
3.730000e+04 2.513827e+00 3.106935e-01 6.131058e-04
3.740000e+04 2.507956e+00 3.103647e-01 1.557259e-03
3.750000e+04 2.512217e+00 3.101253e-01 1.437613e-03
3.760000e+04 2.506605e+00 3.098896e-01 3.746076e-04
3.770000e+04 2.505827e+00 3.096044e-01 1.166600e-03
3.780000e+04 2.511533e+00 3.092885e-01 1.175670e-03
3.790000e+04 2.509359e+00 3.090354e-01 5.589501e-04
3.800000e+04 2.503486e+00 3.086622e-01 1.275593e-03
3.810000e+04 2.506941e+00 3.085513e-01 2.234462e-03
3.820000e+04 2.510328e+00 3.084246e-01 7.476615e-04
3.830000e+04 2.512902e+00 3.080231e-01 9.564946e-04
3.840000e+04 2.524250e+00 3.077835e-01 1.084995e-03
3.850000e+04 2.518749e+00 3.074463e-01 1.207792e-03
3.860000e+04 2.517609e+00 3.073112e-01 8.281286e-04
3.870000e+04 2.531906e+00 3.070099e-01 9.142893e-04
3.880000e+04 2.544056e+00 3.068412e-01 7.346803e-04
3.890000e+04 2.543777e+00 3.065490e-01 6.021236e-04
3.900000e+04 2.543261e+00 3.062429e-01 7.413396e-04
3.910000e+04 2.538121e+00 3.060438e-01 1.110441e-03
3.920000e+04 2.551363e+00 3.058326e-01 9.419617e-04
3.930000e+04 2.554486e+00 3.055478e-01 1.240480e-03
3.940000e+04 2.560779e+00 3.052784e-01 5.415736e-04
3.950000e+04 2.565116e+00 3.048990e-01 8.990492e-04
3.960000e+04 2.566042e+00 3.047965e-01 8.036786e-04
3.970000e+04 2.574969e+00 3.045660e-01 7.596332e-04
3.980000e+04 2.560746e+00 3.044289e-01 8.232737e-04
3.990000e+04 2.563951e+00 3.041567e-01 6.141937e-04
